time,Experiment,ESM,Source,burntFractionAll,grid_area,BA_area_pred
2000-12-31,historical,CESM2,historical (CMIP6) - CESM2,398.1085,510051523.1101868,529.8612156221996
2001-12-31,historical,CESM2,historical (CMIP6) - CESM2,332.2905,510051523.1101868,446.4769743527776
2002-12-31,historical,CESM2,historical (CMIP6) - CESM2,381.4424,510051523.1101868,507.08626066529985
2003-12-31,historical,CESM2,historical (CMIP6) - CESM2,372.4196,510051523.1101868,500.2465853602838
2004-12-31,historical,CESM2,historical (CMIP6) - CESM2,341.90213,510051523.1101868,460.159723765701
2005-12-31,historical,CESM2,historical (CMIP6) - CESM2,330.90057,510051523.1101868,437.4289472348676
2006-12-31,historical,CESM2,historical (CMIP6) - CESM2,339.37628,510051523.1101868,449.5005782584837
2007-12-31,historical,CESM2,historical (CMIP6) - CESM2,361.4065,510051523.1101868,483.2594614663417
2008-12-31,historical,CESM2,historical (CMIP6) - CESM2,414.43005,510051523.1101868,550.4657170413014
2009-12-31,historical,CESM2,historical (CMIP6) - CESM2,337.18353,510051523.1101868,453.18580462604706
2010-12-31,historical,CESM2,historical (CMIP6) - CESM2,367.71967,510051523.1101868,488.53428801416084
2011-12-31,historical,CESM2,historical (CMIP6) - CESM2,383.883,510051523.1101868,509.12873478148487
2012-12-31,historical,CESM2,historical (CMIP6) - CESM2,420.81757,510051523.1101868,562.9768217023037
2013-12-31,historical,CESM2,historical (CMIP6) - CESM2,358.45673,510051523.1101868,482.8450352602744
2014-12-31,historical,CESM2,historical (CMIP6) - CESM2,402.89267,510051523.1101868,541.709694411341
2000-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,330.81534,510051523.1101868,441.1430397698974
2001-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,363.7263,510051523.1101868,485.41703505317605
2002-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,363.87326,510051523.1101868,488.0127430879083
2003-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,354.12875,510051523.1101868,470.5263834935692
2004-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,376.34824,510051523.1101868,501.8362485826145
2005-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,386.86078,510051523.1101868,520.6219827630397
2006-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,366.15567,510051523.1101868,490.6018961045729
2007-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,424.385,510051523.1101868,566.0936213710559
2008-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,364.67688,510051523.1101868,486.5829664462036
2009-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,348.77216,510051523.1101868,459.3525572086883
2010-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,381.80188,510051523.1101868,509.36225928878406
2011-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,410.2136,510051523.1101868,551.8364380537627
2012-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,404.257,510051523.1101868,541.046951394736
2013-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,397.3206,510051523.1101868,522.5212411827071
2014-12-31,historical,CESM2-WACCM,historical (CMIP6) - CESM2-WACCM,354.3745,510051523.1101868,463.74773661852424
2000-12-31,historical,CMCC-CM2-SR5,historical (CMIP6) - CMCC-CM2-SR5,379.38867,510051523.1101868,473.79885090175526
2001-12-31,historical,CMCC-CM2-SR5,historical (CMIP6) - CMCC-CM2-SR5,394.24512,510051523.1101868,496.82855215367596
2002-12-31,historical,CMCC-CM2-SR5,historical (CMIP6) - CMCC-CM2-SR5,481.2699,510051523.1101868,624.3516452452003
2003-12-31,historical,CMCC-CM2-SR5,historical (CMIP6) - CMCC-CM2-SR5,340.36676,510051523.1101868,432.8359257109556
2004-12-31,historical,CMCC-CM2-SR5,historical (CMIP6) - CMCC-CM2-SR5,432.08752,510051523.1101868,522.4957068422667
