time,Fire Model,Experiment,ESM,Source,BA_area_pred
1850-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,522.221253004907
1851-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,572.0395534563291
1852-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,539.7632988496937
1853-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,503.79774951738153
1854-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,560.5495834180921
1855-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,524.7792714391134
1856-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,566.8937007551347
1857-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,557.5938884170399
1858-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,528.5606515073049
1859-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,484.8226689132318
1860-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,513.9119799876153
1861-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,600.33679629986
1862-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,506.7720162749313
1863-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,506.8000346691929
1864-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,574.0873340853644
1865-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,498.8293773495691
1866-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,549.1254025372357
1867-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,553.1409647928266
1868-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,532.1448989474828
1869-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,506.18011784706397
1870-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,576.3497451722097
1871-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,540.3743317521254
1872-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,514.1948976723056
1873-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,529.6867638460819
1874-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,519.2370454643782
1875-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,537.0881792860222
1876-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,515.5977044521655
1877-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,510.18038264602166
1878-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,538.606589373297
